,Unnamed: 0,Name,Price,img_url,prod_url,Star,Rating,Amoled,Display Resolution,Water Resistance,Battery Life,Charge Time,Alarm Clock,Calendar,Step Count,Calorie Count,Heart Rate Monitor,Voice Control,Call Features,Operating Range,Gesture Control,5☆_Rating,4☆_Rating,3☆_Rating,2☆_Rating,1☆_Rating,Battery & Charger,Display,Design,Activity Tracking,Dial Color,Dial Shape,Strap Color,Strap Material,Dial Color,Dial Shape,Strap Color,Strap Material,Water Resistant,Display_Size,Manufacturer,manf_url
10,10,"boAt Wave Flex Connect with 1.83"" HD Display,Bluetooth Calling & Premium Metal Design Smartwatch","₹1,499",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/c/s/-original-imagp7vv3gwtnzhr.jpeg?q=70,/boat-wave-flex-connect-1-83-hd-display-bluetooth-calling-premium-metal-design-smartwatch/p/itm8541a93a7e868?pid=SMWGMNNYKU5HDHGU&lid=LSTSMWGMNNYKU5HDHGURCY0PK&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_11&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=en_ZBsi2VlhnP7ohPMRhEwiv5Bhf2MgKuQM6Q4BsCyklhv3CVp2pwcYP9hnSxbu21-LDcI1JsUjj_3XVU1TYQ48RQ%3D%3D&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.1,24176,No,240 x 280 Pixels,None,7,None,Yes,Yes,Yes,Yes,Yes,None,None,10 m,None,"13,619","4,978","2,074",975,"2,530",3.6,4,4,3.7,None,Rectangle,Black,Silicone,None,Rectangle,Black,Silicone,Yes,46.482,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg
11,11,"Noise Icon 2 Vista Bluetooth Calling with 1.78"" AMOLED display, 150+ watchfaces Smartwatch","₹2,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/b/e/t/-original-imagnuu8mfzfsfdz.jpeg?q=70,/noise-icon-2-vista-bluetooth-calling-1-78-amoled-display-150-watchfaces-smartwatch/p/itm20256e4411f0f?pid=SMWGGKV2ZXGQZZHZ&lid=LSTSMWGGKV2ZXGQZZHZ67FKZS&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_12&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=en_ZBsi2VlhnP7ohPMRhEwiv5Bhf2MgKuQM6Q4BsCyklhvZ_oaiV7UvsS6iQfSYPyymCihLBsXTIbo3m970m8Idjw%3D%3D&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4,3910,Yes,368 x 448 pixel,None,7,None,Yes,Yes,Yes,Yes,Yes,None,"Mute Calls, Reject Calls, Take Calls, Speed Dial",10 m,None,"2,152",822,305,161,470,3.8,4.2,4.1,3.8,Black,Square,Black,Silicone,Black,Square,Black,Silicone,Yes,45.212,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
12,12,boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch,"₹1,399",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/8/f/m/-original-imaghbgagcbuxpev.jpeg?q=70,/boat-storm-call-1-69-inch-hd-display-bluetooth-calling-550-nits-brightness-smartwatch/p/itmf70a25b4a16e9?pid=SMWGHYF5Z5JZBRY5&lid=LSTSMWGHYF5Z5JZBRY5DVPQXU&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_13&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=2a0e3691-b55c-4c0a-a4b8-f3c33fd94798.SMWGHYF5Z5JZBRY5.SEARCH&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.1,228283,No,240 x 280 Pixels,None,10,None,Yes,Yes,Yes,Yes,Yes,None,"Talk through watch, Dial pad, Save 10 contacts",10 m,None,"1,31,856","46,369","18,845","9,042","22,171",3.6,3.9,4,3.8,None,Rectangle,Green,Silicone,None,Rectangle,Green,Silicone,Yes,42.926,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg
13,13,"Noise Loop 1.85'' Display with Advanced Bluetooth Calling, 550 Nits Brightness Smartwatch","₹1,399",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/f/k/-original-imagkjtjgdzhgdz5.jpeg?q=70,/noise-loop-1-85-display-advanced-bluetooth-calling-550-nits-brightness-smartwatch/p/itm832c16304caa5?pid=SMWGG6GFKUF9G2UC&lid=LSTSMWGG6GFKUF9G2UCGTQ0B0&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_14&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=2a0e3691-b55c-4c0a-a4b8-f3c33fd94798.SMWGG6GFKUF9G2UC.SEARCH&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.2,2521,No,240 x 284 pixel,None,7,None,Yes,Yes,Yes,Yes,Yes,None,"Mute Calls, Reject Calls, Take Calls, Speed Dial",10 m,None,"1,525",500,188,86,222,4,4.1,4.2,4,Blue,Square,Blue,Silicone,Blue,Square,Blue,Silicone,Yes,46.99,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
14,14,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch","₹1,499",https://rukminim2.flixcart.com/image/612/612/l5ld8y80/smartwatch/0/f/j/-original-imagg8dcbmkgrfdy.jpeg?q=70,/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itm5949b6fca6f56?pid=SMWGEH7WC8F4VKKZ&lid=LSTSMWGEH7WC8F4VKKZ8EIJBF&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_15&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=2a0e3691-b55c-4c0a-a4b8-f3c33fd94798.SMWGEH7WC8F4VKKZ.SEARCH&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.2,179137,No,240 x 286 pixel,None,7,None,Yes,Yes,Yes,Yes,Yes,Yes,"Reject Calls, Take Calls, Speed Dial",10 m,"Change Music, Answer Calls","1,07,318","36,443","13,008","6,342","16,026",3.8,4.1,4.1,3.9,Gold,Rectangle,Deep Wine,Silicone,Gold,Rectangle,Deep Wine,Silicone,Yes,45.72,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
15,15,"Noise Caliber 2 Buzz 1.85'' Display with Bluetooth Calling, Long Battery & IP68 Rating Smartwatch","₹1,399",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/5/r/-original-imagk7wrscz7ttwt.jpeg?q=70,/noise-caliber-2-buzz-1-85-display-bluetooth-calling-long-battery-ip68-rating-smartwatch/p/itm5b5fb446ca556?pid=SMWGGJGYYTUY3Z4Y&lid=LSTSMWGGJGYYTUY3Z4YVSEGIK&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_16&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=2a0e3691-b55c-4c0a-a4b8-f3c33fd94798.SMWGGJGYYTUY3Z4Y.SEARCH&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.1,19746,No,240 x 284 pixel,None,10,None,Yes,Yes,Yes,Yes,Yes,Yes,None,10 m,Yes,"11,294","3,785","1,599",783,"2,285",3.7,3.9,4,3.8,Black,Square,Black,Silicone,Black,Square,Black,Silicone,Yes,46.482,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
16,16,"Noise Force Plus 1.46'' AMOLED Always-On Display with Bluetooth Calling, Rugged Build Smartwatch","₹3,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/l/w/x/-original-imagp5py2ndsdjrm.jpeg?q=70,/noise-force-plus-1-46-amoled-always-on-display-bluetooth-calling-rugged-build-smartwatch/p/itm1babd8a9e1ba7?pid=SMWGNHJ8GTRSMJZU&lid=LSTSMWGNHJ8GTRSMJZUQHLY4H&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_17&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=en_ZBsi2VlhnP7ohPMRhEwiv5Bhf2MgKuQM6Q4BsCyklhs203V-eI9ZRI1XN2qKTJJslmobNYmYnZv9BwTHMlRmnw%3D%3D&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.2,3585,Yes,466 x 466 pixel,None,7,None,Yes,None,Yes,Yes,Yes,None,None,10 m,None,"2,119",788,224,106,348,4.1,4.4,4.3,4,Silver,Circle,Blue,Silicone,Silver,Circle,Blue,Silicone,Yes,37.084,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
17,17,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch","₹1,499",https://rukminim2.flixcart.com/image/612/612/l5ld8y80/smartwatch/n/i/m/-original-imagg8dddyyzjnxn.jpeg?q=70,/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itmadb5bf0ef4cdc?pid=SMWGEH7VV8B3H8Y6&lid=LSTSMWGEH7VV8B3H8Y6IAVT9G&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_18&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=en_ZBsi2VlhnP7ohPMRhEwiv5Bhf2MgKuQM6Q4BsCyklhtSUD7dgoPSp6Evap0OEUmC70im1L4K8LO-BEEN28fAOQ%3D%3D&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.2,179137,No,240 x 286 pixel,None,7,None,Yes,Yes,Yes,Yes,Yes,Yes,"Reject Calls, Take Calls, Speed Dial",10 m,"Change Music, Answer Calls","1,07,318","36,443","13,008","6,342","16,026",3.8,4.1,4.1,3.9,Blue,Rectangle,Blue,Silicone,Blue,Rectangle,Blue,Silicone,Yes,45.72,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
18,18,"boAt Wave Beat with 600+ Watch Faces, 1.69"" HD Display and Crest Health Ecosystem Smartwatch","₹1,099",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/n/s/r/-original-imagzcvgzucjhfht.jpeg?q=70,/boat-wave-beat-600-watch-faces-1-69-hd-display-crest-health-ecosystem-smartwatch/p/itm8ae87069880cd?pid=SMWGHY46ZZUJ3MXU&lid=LSTSMWGHY46ZZUJ3MXUKOM4XM&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_19&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=2a0e3691-b55c-4c0a-a4b8-f3c33fd94798.SMWGHY46ZZUJ3MXU.SEARCH&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.1,71142,No,240 x 280 Pixels,None,7,None,Yes,Yes,Yes,Yes,Yes,None,None,10 m,None,"39,245","14,960","6,546","2,964","7,427",3.7,3.9,3.9,3.7,None,Rectangle,Blue,Silicone,None,Rectangle,Blue,Silicone,Yes,41.91,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg
19,19,"boAt Wave Beat with 600+ Watch Faces, 1.69"" HD Display and Crest Health Ecosystem Smartwatch","₹1,099",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/4/4/3/-original-imagzcvgfzvnev3w.jpeg?q=70,/boat-wave-beat-600-watch-faces-1-69-hd-display-crest-health-ecosystem-smartwatch/p/itm8ae87069880cd?pid=SMWGHYF52QVXFREG&lid=LSTSMWGHYF52QVXFREGOIMU9D&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_20&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=2a0e3691-b55c-4c0a-a4b8-f3c33fd94798.SMWGHYF52QVXFREG.SEARCH&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.1,71142,No,240 x 280 Pixels,None,7,None,Yes,Yes,Yes,Yes,Yes,None,None,10 m,None,"39,245","14,960","6,546","2,964","7,427",3.7,3.9,3.9,3.7,None,Rectangle,Red,Silicone,None,Rectangle,Red,Silicone,Yes,41.91,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg
