,Unnamed: 0,Name,Price,img_url,prod_url,Star,Rating,Amoled,Display Resolution,Water Resistance,Battery Life,Charge Time,Alarm Clock,Calendar,Step Count,Calorie Count,Heart Rate Monitor,Voice Control,Call Features,Operating Range,Gesture Control,5☆_Rating,4☆_Rating,3☆_Rating,2☆_Rating,1☆_Rating,Battery & Charger,Display,Design,Activity Tracking,Dial Color,Dial Shape,Strap Color,Strap Material,Dial Color,Dial Shape,Strap Color,Strap Material,Water Resistant,Display_Size,Manufacturer,manf_url
48,48,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant Smartwatch","₹1,599",https://rukminim2.flixcart.com/image/612/612/kz1lle80/smartwatch/w/e/l/-original-imagb54sshpnprx8.jpeg?q=70,/noise-icon-buzz-1-69-display-bluetooth-calling-built-in-games-voice-assistant-smartwatch/p/itm15dc7382752b8?pid=SMWGAU62KSBDW5RH&lid=LSTSMWGAU62KSBDW5RHBQVMJB&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&spotlightTagId=FkPickId_ajy%2Fbuh&srno=s_2_49&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=3787e5b5-30f3-4737-900f-b1efd536fa58.SMWGAU62KSBDW5RH.SEARCH&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.1,345620,No,240 x 280 pixel,None,7,120 min,Yes,Yes,Yes,Yes,Yes,Yes,"Reject Calls, Take Calls, Speed Dial",10 m,"Change Music, Answer Calls","2,00,512","71,973","27,467","12,411","33,257",3.7,3.9,4,3.8,Grey,Rectangle,Grey,Silicone,Grey,Rectangle,Grey,Silicone,Yes,43,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
49,49,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant Smartwatch","₹1,599",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/a/p/t/-original-imagkf45zukmgcdp.jpeg?q=70,/noise-icon-buzz-1-69-display-bluetooth-calling-built-in-games-voice-assistant-smartwatch/p/itm6af342892788a?pid=SMWGGKSZAPFFJDHK&lid=LSTSMWGGKSZAPFFJDHKWFUK9W&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_50&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=3787e5b5-30f3-4737-900f-b1efd536fa58.SMWGGKSZAPFFJDHK.SEARCH&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.1,345620,No,240 x 280 pixel,None,7,120 min,Yes,Yes,Yes,Yes,Yes,Yes,"Reject Calls, Take Calls, Speed Dial",10 m,"Change Music, Answer Calls","2,00,512","71,973","27,467","12,411","33,257",3.7,3.9,4,3.8,Gold,Rectangle,Pink,Silicone,Gold,Rectangle,Pink,Silicone,Yes,43,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
50,50,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant Smartwatch","₹1,299",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/q/n/x/-original-imagkf458twypydh.jpeg?q=70,/noise-icon-buzz-1-69-display-bluetooth-calling-built-in-games-voice-assistant-smartwatch/p/itme22f7b2ca0c84?pid=SMWGGKT3GQJH6VDG&lid=LSTSMWGGKT3GQJH6VDGRVMNQR&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_51&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=en_0bfP7Dte4CZEJZIFCOEG-KyAGgctCeCmi1GJa5tHm7Pgmag_P03JhDjiR12Hz6Ak1vIPuj6E72l_AbVOpExQ2A%3D%3D&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.1,345620,No,240 x 280 pixel,None,7,120 min,Yes,Yes,Yes,Yes,Yes,Yes,"Reject Calls, Take Calls, Speed Dial",10 m,"Change Music, Answer Calls","2,00,512","71,973","27,467","12,411","33,257",3.7,3.9,4,3.8,Silver,Rectangle,Red,Silicone,Silver,Rectangle,Red,Silicone,Yes,43,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
51,51,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant Smartwatch","₹2,199",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/3/8/g/-original-imagz67wy89jfvyt.jpeg?q=70,/noise-icon-3-1-91-display-bluetooth-calling-metallic-finish-voice-assistant-smartwatch/p/itm20abd5f1212be?pid=SMWGKGRSHS74YZPM&lid=LSTSMWGKGRSHS74YZPM42IWVH&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_52&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=en_0bfP7Dte4CZEJZIFCOEG-KyAGgctCeCmi1GJa5tHm7Pi50LBxOu5M7I__kSNI3jRNnEKDoDGm011_1N46kvxvQ%3D%3D&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4,8161,No,240 x 296 pixel,None,7,None,Yes,Yes,Yes,Yes,Yes,Yes,None,10 m,Yes,"4,526","1,543",583,327,"1,182",3.7,3.9,4,3.6,Gold,Square,Deep Wine,Silicone,Gold,Square,Deep Wine,Silicone,Yes,48.514,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
52,52,"boAt Wave Connect with Bluetooth Calling, Voice Assistant and 1.69"" HD Display Smartwatch","₹2,999",https://rukminim2.flixcart.com/image/612/612/l41n2q80/smartwatch/k/i/t/-original-imagfffyxhqtmmkr.jpeg?q=70,/boat-wave-connect-bluetooth-calling-voice-assistant-1-69-hd-display-smartwatch/p/itm8e103a4ca1bc0?pid=SMWGEPT2HM5FYXJV&lid=LSTSMWGEPT2HM5FYXJVNWNN1U&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_53&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=3787e5b5-30f3-4737-900f-b1efd536fa58.SMWGEPT2HM5FYXJV.SEARCH&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.2,46898,No,240 x 280 Pixel,None,7,None,None,None,Yes,Yes,Yes,None,None,10 m,None,"28,441","10,004","3,318","1,483","3,652",4,4.1,4.2,4,None,Rectangle,Blue,Silicone,None,Rectangle,Blue,Silicone,Yes,42.672,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg
53,53,boAt Lunar Connect with ENx Technology for BT Calling & 1.28 HD Round Display Smartwatch,"₹1,799",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/1/q/y/-original-imagmx8v7tjwapne.jpeg?q=70,/boat-lunar-connect-enx-technology-bt-calling-1-28-hd-round-display-smartwatch/p/itm7e242db04d720?pid=SMWGMGY5HYDC3WSG&lid=LSTSMWGMGY5HYDC3WSGBG95TH&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_54&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=3787e5b5-30f3-4737-900f-b1efd536fa58.SMWGMGY5HYDC3WSG.SEARCH&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.1,10379,No,240 x 240 Pixels,None,7,None,Yes,Yes,Yes,Yes,Yes,None,None,10 m,None,"5,764","2,118",946,394,"1,157",3.9,3.6,3.7,3.7,None,Circle,Blue,Silicone,None,Circle,Blue,Silicone,Yes,32.512,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg
54,54,boAt Lunar Connect with ENx Technology for BT Calling & 1.28 HD Round Display Smartwatch,"₹1,799",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/m/9/i/-original-imagmx8vguugexab.jpeg?q=70,/boat-lunar-connect-enx-technology-bt-calling-1-28-hd-round-display-smartwatch/p/itm7e242db04d720?pid=SMWGMGY5JVHVSKEK&lid=LSTSMWGMGY5JVHVSKEKU5OXWU&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_55&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=3787e5b5-30f3-4737-900f-b1efd536fa58.SMWGMGY5JVHVSKEK.SEARCH&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.1,10379,No,240 x 240 Pixels,None,7,None,Yes,Yes,Yes,Yes,Yes,None,None,10 m,None,"5,764","2,118",946,394,"1,157",3.9,3.6,3.7,3.7,None,Circle,Black,Silicone,None,Circle,Black,Silicone,Yes,32.512,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg
55,55,boAt Lunar Connect with ENx Technology for BT Calling & 1.28 HD Round Display Smartwatch,"₹1,799",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/8/6/-original-imagmx8vrehsdzv8.jpeg?q=70,/boat-lunar-connect-enx-technology-bt-calling-1-28-hd-round-display-smartwatch/p/itm7e242db04d720?pid=SMWGMGY5GGSGGZHQ&lid=LSTSMWGMGY5GGSGGZHQGDAE0S&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_56&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=3787e5b5-30f3-4737-900f-b1efd536fa58.SMWGMGY5GGSGGZHQ.SEARCH&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.1,10379,No,240 x 240 Pixels,None,7,None,Yes,Yes,Yes,Yes,Yes,None,None,10 m,None,"5,764","2,118",946,394,"1,157",3.9,3.6,3.7,3.7,None,Circle,Grey,Silicone,None,Circle,Grey,Silicone,Yes,32.512,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg
56,56,"Noise Qube 2 1.96"" display with Bluetooth Calling, Built-in Games, AI Voice Assistant Smartwatch","₹2,199",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/1/2/w/-original-imagpphchbgvatdj.jpeg?q=70,/noise-qube-2-1-96-display-bluetooth-calling-built-in-games-ai-voice-assistant-smartwatch/p/itmda2c6fa52ecac?pid=SMWGNPCQMYX2UZHF&lid=LSTSMWGNPCQMYX2UZHF75QBDB&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_57&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=en_0bfP7Dte4CZEJZIFCOEG-KyAGgctCeCmi1GJa5tHm7P0fu6YuMluTA2-gy7DSFs00Rf6F5MIcrduhHDCpGzXtw%3D%3D&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,3.9,3051,No,240 x 282 pixel,None,7,None,Yes,None,Yes,Yes,Yes,None,None,10 m,None,"1,584",616,251,139,461,3.7,4,4,3.7,Black,Square,Black,Silicone,Black,Square,Black,Silicone,Yes,49.784,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
57,57,"Noise Crew Pro BT Calling with 1.4"" display, Metal Finish & Functional Crown Smartwatch","₹2,399",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/k/s/9/-original-imagqkgcmnwmst6p.jpeg?q=70,/noise-crew-pro-bt-calling-1-4-display-metal-finish-functional-crown-smartwatch/p/itmab6a600e23d51?pid=SMWGNHF9BN9PH3P4&lid=LSTSMWGNHF9BN9PH3P4YULMTI&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_58&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=en_0bfP7Dte4CZEJZIFCOEG-KyAGgctCeCmi1GJa5tHm7O8PulBm8PJUwiNFTeud8YXkjM1BXgejPPLkr0jYoPDow%3D%3D&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.8,0,No,240 x 240 pixel,None,7,None,Yes,None,Yes,Yes,Yes,None,None,10 m,None,111,44,15,6,22,3.9,3.8,4.4,4,Black,Circle,Black,Leather,Black,Circle,Black,Leather,Yes,35.56,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
58,58,"Noise Force Plus 1.46'' AMOLED Always-On Display with Bluetooth Calling, Rugged Build Smartwatch","₹3,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/l/w/x/-original-imagp5py2ndsdjrm.jpeg?q=70,/noise-force-plus-1-46-amoled-always-on-display-bluetooth-calling-rugged-build-smartwatch/p/itm1babd8a9e1ba7?pid=SMWGNHJ8GTRSMJZU&lid=LSTSMWGNHJ8GTRSMJZUQHLY4H&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_59&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=3787e5b5-30f3-4737-900f-b1efd536fa58.SMWGNHJ8GTRSMJZU.SEARCH&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.2,3585,Yes,466 x 466 pixel,None,7,None,Yes,None,Yes,Yes,Yes,None,None,10 m,None,"2,119",788,224,106,348,4.1,4.4,4.3,4,Silver,Circle,Blue,Silicone,Silver,Circle,Blue,Silicone,Yes,37.084,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
59,59,"boAt Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes Smartwatch","₹1,499",https://rukminim2.flixcart.com/image/612/612/l3ahpjk0/smartwatch/m/k/a/-original-imagegyhhxaszhn9.jpeg?q=70,/boat-wave-neo-1-69-inch-2-5d-curved-display-multiple-sports-modes-smartwatch/p/itm25cb8d4c5313f?pid=SMWGD7HJJGEPMBMB&lid=LSTSMWGD7HJJGEPMBMBHEL1RL&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_60&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=3787e5b5-30f3-4737-900f-b1efd536fa58.SMWGD7HJJGEPMBMB.SEARCH&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4,123958,No,454 x 454 Pixels,None,7,None,None,None,Yes,Yes,Yes,None,None,None,None,"67,562","25,411","11,613","5,592","13,780",3.8,3.8,3.9,3.7,None,Rectangle,Black,Silicone,None,Rectangle,Black,Silicone,Yes,43,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg
60,60,Noise Caliber Buzz 1.69'' Display with Advanced Bluetooth Calling & Powerful Battery Smartwatch,"₹1,599",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/d/v/2/-original-imaghhwyz3gzag98.jpeg?q=70,/noise-caliber-buzz-1-69-display-advanced-bluetooth-calling-powerful-battery-smartwatch/p/itm2ed9111243e6f?pid=SMWGFB4JFWSSW7UJ&lid=LSTSMWGFB4JFWSSW7UJHUH0OG&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_61&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=en_0bfP7Dte4CZEJZIFCOEG-KyAGgctCeCmi1GJa5tHm7OefZmHxR2ferRaI0qxEu9PIxkj15PilOJtD_jPuJJQAQ%3D%3D&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.2,16323,No,240 x 280 pixel,None,10,None,Yes,Yes,Yes,Yes,Yes,Yes,None,10 m,None,"9,871","3,571","1,180",472,"1,229",4,4.1,4.1,4,Blue,Rectangle,Blue,Silicone,Blue,Rectangle,Blue,Silicone,Yes,42.926,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
61,61,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant Smartwatch","₹1,799",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/m/v/f/-original-imagz67w2gxyq5hz.jpeg?q=70,/noise-icon-3-1-91-display-bluetooth-calling-metallic-finish-voice-assistant-smartwatch/p/itm8ed0eb8fd0e9f?pid=SMWGKGRSRJY7PSHZ&lid=LSTSMWGKGRSRJY7PSHZRMHGUG&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_62&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=en_0bfP7Dte4CZEJZIFCOEG-KyAGgctCeCmi1GJa5tHm7NS769kexRURZ1c-C5BgN4rRB8CLsS3lxP_URBxH5RIZQ%3D%3D&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4,8161,No,240 x 296 pixel,None,7,None,Yes,Yes,Yes,Yes,Yes,Yes,None,10 m,Yes,"4,526","1,543",583,327,"1,182",3.7,3.9,4,3.6,Gold,Square,Classic Black,Silicone,Gold,Square,Classic Black,Silicone,Yes,48.514,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
62,62,"boAt Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes Smartwatch","₹1,499",https://rukminim2.flixcart.com/image/612/612/l3ahpjk0/smartwatch/l/n/f/-original-imagegyh8dmdxrwh.jpeg?q=70,/boat-wave-neo-1-69-inch-2-5d-curved-display-multiple-sports-modes-smartwatch/p/itm25cb8d4c5313f?pid=SMWGD7HJBMSDYZCG&lid=LSTSMWGD7HJBMSDYZCGHLS01J&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_63&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=3787e5b5-30f3-4737-900f-b1efd536fa58.SMWGD7HJBMSDYZCG.SEARCH&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4,123958,No,454 x 454 Pixels,None,7,None,None,None,Yes,Yes,Yes,None,None,None,None,"67,562","25,411","11,613","5,592","13,780",3.8,3.8,3.9,3.7,None,Rectangle,Blue,Silicone,None,Rectangle,Blue,Silicone,Yes,43,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg
63,63,"Noise Crew 1.38"" Round Display with Bluetooth Calling, Metallic finish, IP68 Rating Smartwatch","₹1,799",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/n/o/r/-original-imagnfyszyntgnrf.jpeg?q=70,/noise-crew-1-38-round-display-bluetooth-calling-metallic-finish-ip68-rating-smartwatch/p/itm5353a512b4356?pid=SMWGKXECNWDK7KKS&lid=LSTSMWGKXECNWDK7KKS9WXLEL&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_64&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=3787e5b5-30f3-4737-900f-b1efd536fa58.SMWGKXECNWDK7KKS.SEARCH&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.2,25033,No,240 x 240 pixel,None,7,None,Yes,Yes,Yes,Yes,Yes,None,None,10 m,None,"14,920","5,755","1,754",709,"1,895",4,4.1,4.3,3.9,Gold,Circle,Pink,Silicone,Gold,Circle,Pink,Silicone,Yes,35.052,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
64,64,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant Smartwatch","₹1,799",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/a/i/s/-original-imagz67wgmxt5mxy.jpeg?q=70,/noise-icon-3-1-91-display-bluetooth-calling-metallic-finish-voice-assistant-smartwatch/p/itm05233cdb2fc7f?pid=SMWGKGRSCZWNAZPC&lid=LSTSMWGKGRSCZWNAZPCZ6VHHW&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_65&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=3787e5b5-30f3-4737-900f-b1efd536fa58.SMWGKGRSCZWNAZPC.SEARCH&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4,8161,No,240 x 296 pixel,None,7,None,Yes,Yes,Yes,Yes,Yes,Yes,None,10 m,Yes,"4,526","1,543",583,327,"1,182",3.7,3.9,4,3.6,Gold,Square,Blue,Silicone,Gold,Square,Blue,Silicone,Yes,48.514,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
65,65,"Noise Loop 1.85'' Display with Advanced Bluetooth Calling, 550 Nits Brightness Smartwatch","₹1,699",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/o/w/8/-original-imagkjtjrren3tz5.jpeg?q=70,/noise-loop-1-85-display-advanced-bluetooth-calling-550-nits-brightness-smartwatch/p/itm1b75feb1591c7?pid=SMWGG6GGCHXAKWMV&lid=LSTSMWGG6GGCHXAKWMVGLJ876&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_66&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=3787e5b5-30f3-4737-900f-b1efd536fa58.SMWGG6GGCHXAKWMV.SEARCH&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.2,11659,No,240 x 284 pixel,None,7,None,Yes,Yes,Yes,Yes,Yes,None,"Mute Calls, Reject Calls, Take Calls, Speed Dial",10 m,None,"6,969","2,409",856,361,"1,064",4,4.1,4.2,4,Rose Gold,Square,Deep Wine,Silicone,Rose Gold,Square,Deep Wine,Silicone,Yes,46.99,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
66,66,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant Smartwatch","₹1,599",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/s/b/43-wrb-sw-colorfiticonbuzz-std-blu-blu-android-ios-noise-yes-original-imaggkt5tnzztdgf.jpeg?q=70,/noise-icon-buzz-1-69-display-bluetooth-calling-built-in-games-voice-assistant-smartwatch/p/itm9ac372b1344b4?pid=SMWGGKT5FYQHNRJP&lid=LSTSMWGGKT5FYQHNRJPEHZR9E&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_67&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=en_0bfP7Dte4CZEJZIFCOEG-KyAGgctCeCmi1GJa5tHm7Mqs2SP8xR2sV7ljQu4iry0EJeJ_WI2pvtKran77JeoQw%3D%3D&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.1,345620,No,240 x 280 pixel,None,7,120 min,Yes,Yes,Yes,Yes,Yes,Yes,"Reject Calls, Take Calls, Speed Dial",10 m,"Change Music, Answer Calls","2,00,512","71,973","27,467","12,411","33,257",3.7,3.9,4,3.8,Blue,Rectangle,Blue,Silicone,Blue,Rectangle,Blue,Silicone,Yes,43,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
67,67,"Noise Crew Pro BT Calling with 1.4"" display, Metal Finish & Functional Crown Smartwatch","₹2,399",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/c/o/t/-original-imagqkgcqnwmvayy.jpeg?q=70,/noise-crew-pro-bt-calling-1-4-display-metal-finish-functional-crown-smartwatch/p/itmfa8f810342b61?pid=SMWGNHF9Z8Q2TQGQ&lid=LSTSMWGNHF9Z8Q2TQGQTKHREC&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_68&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=en_0bfP7Dte4CZEJZIFCOEG-KyAGgctCeCmi1GJa5tHm7PxtkidZQAC9RH96z1n-V0X7g2DNz4nhhcv7luua6kb6A%3D%3D&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.8,0,No,240 x 240 pixel,None,7,None,Yes,None,Yes,Yes,Yes,None,None,10 m,None,111,44,15,6,22,3.9,3.8,4.4,4,Gold,Circle,Blue,Leather,Gold,Circle,Blue,Leather,Yes,35.56,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
68,68,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch","₹1,799",https://rukminim2.flixcart.com/image/612/612/l5ld8y80/smartwatch/w/r/k/-original-imagg8dhqrgahms4.jpeg?q=70,/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itm3ba8e4a67d813?pid=SMWGEH7WGUSZCT4W&lid=LSTSMWGEH7WGUSZCT4WUW8BMK&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_69&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=3787e5b5-30f3-4737-900f-b1efd536fa58.SMWGEH7WGUSZCT4W.SEARCH&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.2,179137,No,240 x 286 pixel,None,7,None,Yes,Yes,Yes,Yes,Yes,Yes,"Reject Calls, Take Calls, Speed Dial",10 m,"Change Music, Answer Calls","1,07,318","36,443","13,008","6,342","16,026",3.8,4.1,4.1,3.9,Silver,Rectangle,Grey,Silicone,Silver,Rectangle,Grey,Silicone,Yes,45.72,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
69,69,"Noise Crew Pro BT Calling with 1.4"" display, Metal Finish & Functional Crown Smartwatch","₹2,399",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/w/h/e/-original-imagqkgcgjpfhbrv.jpeg?q=70,/noise-crew-pro-bt-calling-1-4-display-metal-finish-functional-crown-smartwatch/p/itm5c2d3a1c24947?pid=SMWGNHFMUM9BZCST&lid=LSTSMWGNHFMUM9BZCSTYTXP8E&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_2_70&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=3787e5b5-30f3-4737-900f-b1efd536fa58.SMWGNHFMUM9BZCST.SEARCH&ssid=raypek9p8g0000001688988922758&qH=adc5bc5b72db9fa3,4.8,0,No,240 x 240 pixel,None,7,None,Yes,None,Yes,Yes,Yes,None,None,10 m,None,111,44,15,6,22,3.9,3.8,4.4,4,Silver,Circle,Brown,Leather,Silver,Circle,Brown,Leather,Yes,35.56,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
